,電影名稱,電影場次,電影評分,預告片,封面,影城,地址,票價,分類,票房,金額
20,捍衛戰士：獨行俠,21:50,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
21,捍衛戰士：獨行俠,22:20,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
22,捍衛戰士：獨行俠,22:50,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
23,捍衛戰士：獨行俠,23:25,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
24,捍衛戰士：獨行俠,23:55,94%,https://movies.yahoo.com.tw/video/%E6%8D%8D%E8%A1%9B%E6%88%B0%E5%A3%AB-%E7%8D%A8%E8%A1%8C%E4%BF%A0-%E8%A3%B8%E8%A6%963d%E6%88%B6%E5%A4%96%E9%9B%BB%E8%A6%96%E5%BB%A3%E5%91%8A-130023940.html?movie_id=10159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/IPaDhsb4uOa5QvdXGh3G-1080x1601.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '劇情']",,
25,一家之主,11:50,60%,https://movies.yahoo.com.tw/video/%E5%AE%B6%E4%B9%8B%E4%B8%BB-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-110747307.html?movie_id=11373,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/TmwgD5qn0ZyHeE2lbCRf-1080x1542.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,['劇情'],12800.0,2541037.0
26,咒,11:20,97%,https://movies.yahoo.com.tw/video/%E5%92%92-%E9%81%8A%E8%A1%8C%E7%AF%87-102206717.html?movie_id=11477,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/February2022/vjyrHV1QwVaAya1lA1Jg-500x714.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['恐怖', '懸疑/驚悚']",717546.0,170740868.0
27,怪獸與鄧不利多的秘密,17:30,96%,https://movies.yahoo.com.tw/video/%E6%80%AA%E7%8D%B8%E8%88%87%E9%84%A7%E4%B8%8D%E5%88%A9%E5%A4%9A%E7%9A%84%E7%A7%98%E5%AF%86-%E6%8F%AD%E9%96%8B%E9%84%A7%E4%B8%8D%E5%88%A9%E5%A4%9A%E4%B9%8B%E8%AC%8E-090208072.html?movie_id=12030,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/gyDW2yUJ0rEXsmI6czOD-1080x1541.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['冒險', '奇幻', '劇情']",463975.0,121164581.0
28,失落謎城,14:15,96%,https://movies.yahoo.com.tw/video/%E5%A4%B1%E8%90%BD%E8%AC%8E%E5%9F%8E-%E9%A6%96%E6%94%AF%E9%A0%90%E5%91%8A-013816823.html?movie_id=12044,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/5uLtaH3SwfeSFzXWNNPm-1080x1557.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['愛情', '動作', '喜劇']",94278.0,22993827.0
29,奇異博士2：失控多重宇宙,10:30,98%,https://movies.yahoo.com.tw/video/%E5%A5%87%E7%95%B0%E5%8D%9A%E5%A3%AB2-%E5%A4%B1%E6%8E%A7%E5%A4%9A%E9%87%8D%E5%AE%87%E5%AE%99-%E5%A4%A2%E9%AD%98%E7%AF%87%E9%A0%90%E5%91%8A-063947770.html?movie_id=12136,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/March2022/rzHcO2XZWzQxrMn1TlMG-1280x1827.jpg,欣欣秀泰,台北市中山區林森北路247號4樓,290,"['動作', '奇幻', '劇情']",762386.0,202549418.0
